code,family,years,displacement_cc,power_kw,power_ps,torque_nm,cylinders,valves,compression_ratio,bore_mm,stroke_mm,fuel
B37C15K0,B37,2014 -,1496,70,95,220,3,12,"16,5:1",84.0,90.0,Diesel
B37C15U0,B37,2014 -,1496,85,116,270,3,12,"16,5:1",84.0,90.0,Diesel
B37D15U0,B37,2015 -,1496,85,116,270,3,12,"16,5:1",84.0,90.0,Diesel
B38A12U0,B38,2014 -,1198,55,75,150,3,12,"10,2:1",78.0,83.6,Benzin
B38A12U0,B38,2014 -,1198,75,102,180,3,12,11:1,78.0,83.6,Normal - Super Plus bleifrei
B38A15M0,B38,2014 -,1499,100,136,220,3,12,11:1,82.0,94.6,Normal - Super Plus bleifrei
B38K15T0,B38,2014 -,1499,170,231,320,3,12,9.5:1,82.0,94.6,Normal - Super Plus bleifrei
B38B15M0,B38,2015 -,1499,80,109,180,3,12,11:1,82.0,94.6,Normal - Super Plus bleifrei
B38B15M0,B38,2015 -,1499,100,136,220,3,12,11:1,82.0,94.6,Normal - Super Plus bleifrei
B47C20U0,B47,2014 -,1995,110,150,330,4,16,"16,5:1",84.0,90.0,Diesel
B47D20O0,B47,2014 -,1995,110,150,360,4,16,16.5:1,84.0,90.0,Diesel
B47C20O0,B47,2014 -,1995,125,170,360,4,16,"16,5:1",84.0,90.0,Diesel
B47C20O0,B47,2014 -,1995,140,190,400,4,16,"16,5:1",84.0,90.0,Diesel
B47D20O0,B47,2014 -,1995,140,190,400,4,16,"16,5:1",84.0,90.0,Diesel
B47D20K0,B47,2015 -,1995,85,116,270,4,16,"16,5:1",84.0,90.0,Diesel
B47D20O0,B47,2015 -,1995,120,163,400,4,16,"16,5:1",84.0,90.0,Diesel
B47D20T0,B47,2015 -,1995,165,224,450,4,16,"16,5:1",84.0,90.0,Diesel
B47D20T0,B47,2015 -,1995,170,231,500,4,16,"16,5:1",84.0,90.0,Diesel
B48A20M0,B48,2014 -,1998,141,192,1250,4,16,11:1,82.0,94.6,Normal - Super Plus bleifrei
B48A20O0,B48,2014 -,1998,170,231,350,4,16,"10,2:1",82.0,94.6,91-98
B48B20M0,B48,2016 -,1998,135,184,270,4,16,11:1,82.0,94.6,91-100
B57D30O0,B57,2015 -,2993,195,265,620,6,24,"16,5:1",84.0,90.0,Diesel
B57D30T0,B57,2015 -,2993,235,320,680,6,24,"16,5:1",84.0,90.0,Diesel
B58B30M0,B58,2015 -,2998,240,326,450,6,24,11:1,82.0,94.6,Normal - Super Plus bleifrei
B58B30M0,B58,2015 -,2998,240,326,450,6,24,11:1,82.0,94.6,Normal - Super Plus bleifrei
"DA 1, 2, 4",DA,1927 - 1932,748,11,15,33,4,8,"5,6:1",76.0,56.0,Benzin
DA 3,DA,1930 - 1931,748,13,18,34,4,8,7:1,76.0,56.0,Benzin
HA0001N0,HA0,2020 -,,210,286,400,,,,,,
HA0001N0,HA0,2021 -,,250,340,430,,,,,,
XE2A01N0,HA0,2021 -,,240,326,630,,,,,,
XE2A01N0,HA0,2021 -,,385,523,765,,,,,,
XE2A02N0,HA0,2021 -,,400,544,795,,,,,,
M2B33,M2,1923 -,494,3,,,2,4,"5,0:1",,,Benzin
M21D25,M21,1985 - 1990,2443,63,84,152,6,12,,,,Diesel
M21D25,M21,1987 - 1991,2443,85,114,220,6,12,,,,Diesel
M40B18,M40,1987 - 1994,1786,83,111,162,,,,,,
M40B18,M40,1987 - 1993,1786,85,114,165,,,,,,
M40B16,M40,1988 - 1994,1596,73,98,141,,,,,,
M40B16,M40,1988 - 1994,1596,75,101,143,,,,,,
M41D17,M41,1994 - 2000,1665,66,90,190,4,8,,,,Diesel
M42B18,M42,1989 - 1992,1796,100,136,172,4,16,,,,Super 95 Oktan
M42B18,M42,1991 - 1996,1796,103,140,175,4,16,,,,
M43B18,M43,1992 - 1999,1796,85,115,168,4,8,,,,
M43B16,M43,1993 - 2002,1596,75,102,150,4,8,,,,
M43B16,M43,1995 - 2000,1596,60,82,127,4,8,,,,
M43TUB19,M43,1995 - 2002,1895,87,118,180,4,8,,,,
M43TUB19,M43,1998 - 2002,1895,77,105,165,4,8,,,,
M44B19,M44,1994 - 2000,1896,103,138,80,4,8,,,,
M47D20U0,M47,-,1950,85,116,265,4,24,19:1,84.0,88.0,Diesel
