code,brand,description,years,production_codes,source
3200 CS,BMW,BMW 3200 CS,1962 - 1965,1,https://www.bimmerarchive.org/e-code/3200-cs.html
100,BMW,Isetta,1955 - 1962,1,https://www.bimmerarchive.org/e-code/100.html
101,BMW,Isetta 250,1955 - 1962,1,https://www.bimmerarchive.org/e-code/101.html
102,BMW,Isetta 300,1955 - 1962,3,https://www.bimmerarchive.org/e-code/102.html
103,BMW,Isetta CKD/SKD,1955 - 1962,0,https://www.bimmerarchive.org/e-code/103.html
107,BMW,700 Sedan,1959 - 1965,3,https://www.bimmerarchive.org/e-code/107.html
E21,BMW,BMW 3 Series,1975 - 1982,7,https://www.bimmerarchive.org/e-code/e21.html
E23,BMW,BMW 7 Series Sedan,1977 - 1979,51,https://www.bimmerarchive.org/e-code/e23.html
E24,BMW,BMW 6 Series Coupe,1976 - 1982,42,https://www.bimmerarchive.org/e-code/e24.html
E28,BMW,BMW 5 Series Sedan,1981 - 1987,109,https://www.bimmerarchive.org/e-code/e28.html
E30,BMW,BMW 3 Series Sedan,1982 - 1990,274,https://www.bimmerarchive.org/e-code/e30.html
E30 (5),BMW,BMW 3 Series Touring,1987 - 1994,22,https://www.bimmerarchive.org/e-code/e30-5.html
E30 (16),BMW,BMW 3 Series Sedan with All-Wheel Drive,1985 - 1990,10,https://www.bimmerarchive.org/e-code/e30-16.html
E30 (Z),BMW,BMW Z1 Roadster,1988 - 1991,1,https://www.bimmerarchive.org/e-code/e30-z1.html
E31,BMW,BMW 8 Series Coupe,1989 - 1999,23,https://www.bimmerarchive.org/e-code/e31.html
E32,BMW,BMW 7 Series Sedan,1986 - 1994,32,https://www.bimmerarchive.org/e-code/e32.html
E32 (2),BMW,BMW 7 Series Sedan Long Wheelbase,1987 - 1994,16,https://www.bimmerarchive.org/e-code/e32-2.html
E32 (3),BMW,BMW 7 Series Sedan High Security,-,1,https://www.bimmerarchive.org/e-code/e32-3.html
E34,BMW,BMW 5 Series Sedan,1988 - 1995,89,https://www.bimmerarchive.org/e-code/e34.html
E34 (2),BMW,BMW 5 Series Touring,1990 - 1997,33,https://www.bimmerarchive.org/e-code/e34-2.html
E36 (2),BMW,BMW 3 Series Coupe,1992 - 1999,51,https://www.bimmerarchive.org/e-code/e36-2.html
E36 (C),BMW,BMW 3 Series Convertible,1993 - 1999,40,https://www.bimmerarchive.org/e-code/e36-2c.html
E36 (3),BMW,BMW 3 Series Touring,1995 - 1999,26,https://www.bimmerarchive.org/e-code/e36-3.html
E36 (4),BMW,BMW 3 Series Sedan,1991 - 1998,125,https://www.bimmerarchive.org/e-code/e36-4.html
E36 (5),BMW,BMW 3 Series Compact,1994 - 1998,27,https://www.bimmerarchive.org/e-code/e36-5.html
E36 (7),BMW,BMW Z3 Roadster and M Roadster,1994 - 2002,27,https://www.bimmerarchive.org/e-code/e36-7.html
E36 (7C),BMW,BMW Z3 Coupe and M Coupe,1997 - 2002,11,https://www.bimmerarchive.org/e-code/e36-7c.html
E38,BMW,BMW 7 Series Sedan,1994 - 2001,34,https://www.bimmerarchive.org/e-code/e38.html
E38 (2),BMW,BMW 7 Series Sedan Long Wheelbase,1994 - 2001,24,https://www.bimmerarchive.org/e-code/e38-2.html
E38 (2 PL),BMW,BMW 7 Series Sedan - Protection Line,-,4,https://www.bimmerarchive.org/e-code/e38-2-pl.html
E38 (3),BMW,BMW 7 Series Protection,1998 - 2001,4,https://www.bimmerarchive.org/e-code/e38-3.html
E38 (L7),BMW,BMW L7,1996 - 2001,4,https://www.bimmerarchive.org/e-code/e38-l7.html
E39,BMW,BMW 5 Series Sedan,1995 - 2003,111,https://www.bimmerarchive.org/e-code/e39.html
E39 (2),BMW,BMW 5 Series Touring,1997 - 2004,62,https://www.bimmerarchive.org/e-code/e39-2.html
E46 (2),BMW,BMW 3 Series Coupe,1998 - 2006,27,https://www.bimmerarchive.org/e-code/e46-2.html
E46 (2FL),BMW,BMW 3 Series Coupe - LCI,-,19,https://www.bimmerarchive.org/e-code/e46-2-lci.html
E46 (C),BMW,BMW 3 Series Convertible,1998 - 2006,16,https://www.bimmerarchive.org/e-code/e46-2c.html
E46 (CFL),BMW,BMW 3 Series Convertible - LCI,-,16,https://www.bimmerarchive.org/e-code/e46-c-lci.html
E46 (3),BMW,BMW 3 Series Touring,1998 - 2005,17,https://www.bimmerarchive.org/e-code/e46-3.html
E46 (3FL),BMW,BMW 3 Series Touring - LCI,-,30,https://www.bimmerarchive.org/e-code/e46-3-lci.html
E46 (4),BMW,BMW 3 Series Sedan,1997 - 2005,64,https://www.bimmerarchive.org/e-code/e46-4.html
