code,chassis,brand,model,body,engine,power_kw,drivetrain,steering,region,from,to
ST35,3200 CS,BMW,3200 CS,Coupe,8-Zyl,,,left,Europe,1962-01,1965-09
ST30,100,BMW,Dreirad,Sedan,1-Zyl,,,left,Europe,1958-01,1960-09
ST26,101,BMW,250,Sedan,1-Zyl,,,left,Europe,1955-01,1962-09
ST27,102,BMW,300,Sedan,1-Zyl,,,left,Europe,1955-01,1962-09
ST28,102,BMW,300,Sedan,1-Zyl,,,left,USA,1956-01,1958-09
ST29,102,BMW,300,Sedan,1-Zyl,,,right,Europe,1957-01,1957-09
ST50,107,BMW,700,Convertible,2-Zyl,,,left,Europe,1959-01,1964-09
ST51,107,BMW,700,Convertible,2-Zyl,,,left,USA,1960-01,1962-09
ST52,107,BMW,700,Convertible,2-Zyl,,,left,Europe,1959-01,1962-09
1701,E21,BMW,315,Sedan,M10,,Rear-Wheel Drive,left,Europe,1980-11,1983-12
AG01,E21,BMW,315,Sedan,M10,,Rear-Wheel Drive,left,Europe,,
1712,E21,BMW,316,Sedan,M10,,Rear-Wheel Drive,right,Europe,1980-09,1983-08
AG12,E21,BMW,316,Sedan,M10,,Rear-Wheel Drive,right,Europe,,
1722,E21,BMW,316 A,Sedan,M10,,Rear-Wheel Drive,right,Europe,1980-09,1983-09
1731,E21,BMW,318 I,Sedan,M10,,Rear-Wheel Drive,left,Europe,1979-07,1983-12
AG31,E21,BMW,318 I,Sedan,M10,,Rear-Wheel Drive,left,Europe,,
6471,E23,BMW,72,Sedan,M30,,Rear-Wheel Drive,left,Europe,,
6548,E23,BMW,72,Sedan,M30,,Rear-Wheel Drive,right,South Africa,,
6481,E23,BMW,725,Sedan,M30,,Rear-Wheel Drive,left,Europe,,
FD71,E23,BMW,725,Sedan,M30,,Rear-Wheel Drive,left,Europe,,
6571,E23,BMW,728,Sedan,M30,,Rear-Wheel Drive,left,Europe,,
6572,E23,BMW,728,Sedan,M30,,Rear-Wheel Drive,right,Europe,,
6578,E23,BMW,728,Sedan,M30,,Rear-Wheel Drive,right,South Africa,,
6581,E23,BMW,728,Sedan,M30,,Rear-Wheel Drive,left,Europe,,
6582,E23,BMW,728,Sedan,M30,,Rear-Wheel Drive,right,Europe,,
6588,E23,BMW,728,Sedan,M30,,Rear-Wheel Drive,right,South Africa,,
FE71,E23,BMW,728,Sedan,M30,,Rear-Wheel Drive,left,Europe,,
FE88,E23,BMW,728,Sedan,M30,,Rear-Wheel Drive,right,South Africa,,
6688,E23,BMW,732,Sedan,M30,,Rear-Wheel Drive,right,South Africa,,
6671,E23,BMW,732 I,Sedan,M30,,Rear-Wheel Drive,left,Europe,,
6674,E23,BMW,732 I,Sedan,M30,,Rear-Wheel Drive,left,USA,,
6681,E23,BMW,732 I,Sedan,M30,,Rear-Wheel Drive,left,Europe,,
6682,E23,BMW,732 I,Sedan,M30,,Rear-Wheel Drive,right,Europe,,
6689,E23,BMW,732 I,Sedan,M30,,Rear-Wheel Drive,left,Europe,,
FF71,E23,BMW,732 I,Sedan,M30,,Rear-Wheel Drive,left,Europe,,
FF74,E23,BMW,732 I,Sedan,M30,,Rear-Wheel Drive,left,USA,,
FF81,E23,BMW,732 I,Sedan,M30,,Rear-Wheel Drive,left,Europe,,
FF82,E23,BMW,732 I,Sedan,M30,,Rear-Wheel Drive,right,Europe,,
FF89,E23,BMW,732 I,Sedan,M30,,Rear-Wheel Drive,left,Europe,,
6684,E23,BMW,733 I,Sedan,M30,,Rear-Wheel Drive,left,USA,,
FF84,E23,BMW,733 I,Sedan,M30,,Rear-Wheel Drive,left,USA,,
